event_id,user_id,content_id,content_name,content_type,watch_duration_mins,total_duration_mins,completion_pct,device_type,subscription_tier,city,city_tier,event_timestamp,source
EVT_000001,U00076,C002,KBC Season 15,GameShow,45.0,60,75.0,Laptop,Basic,Chennai,Tier 1,2024-03-15 23:00:00,OTT_APP
EVT_000002,,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Free,Mumbai,Tier 1,2024-02-15 12:00:00,OTT_APP
EVT_000003,U00474,C003,IPL 2024 Final,Sports,210.0,210,100.0,Smart TV,Basic,Bangalore,Tier 1,2024-03-20 10:00:00,OTT_APP
EVT_000004,U00401,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Basic,Mumbai,Tier 1,2024-01-23 16:00:00,OTT_APP
EVT_000005,U00440,C003,IPL 2024 Final,Sports,52.5,210,25.0,Laptop,Basic,Mumbai,Tier 1,2024-02-18 07:00:00,OTT_APP
EVT_000006,,C002,KBC Season 15,GameShow,60.0,60,100.0,Smart TV,Basic,Bangalore,Tier 1,2024-02-14 15:00:00,OTT_APP
EVT_000007,U00443,C001,Anupamaa S1,Series,33.8,45,75.0,Mobile,Premium,Bangalore,Tier 1,2024-02-12 14:00:00,OTT_APP
EVT_000008,U00170,C003,IPL 2024 Final,Sports,157.5,210,75.0,Mobile,Free,Bangalore,Tier 1,2024-03-27 23:00:00,OTT_APP
EVT_000009,U00306,C003,IPL 2024 Final,Sports,52.5,210,25.0,Laptop,Premium,Chennai,Tier 1,2024-01-05 09:00:00,OTT_APP
EVT_000010,U00461,C003,IPL 2024 Final,Sports,105.0,210,50.0,Smart TV,Premium,Hyderabad,Tier 2,2024-01-15 18:00:00,OTT_APP
EVT_000011,U00352,C001,Anupamaa S1,Series,33.8,45,75.0,Smart TV,Premium,Mumbai,Tier 1,2024-03-07 23:00:00,OTT_APP
EVT_000012,U00340,C004,Panchayat S3,Series,7.5,30,25.0,Mobile,Premium,Chennai,Tier 1,2024-03-20 16:00:00,OTT_APP
EVT_000013,U00357,C005,Mirzapur S3,Thriller,27.5,55,50.0,Tablet,Basic,Bangalore,Tier 1,2024-02-11 18:00:00,OTT_APP
EVT_000014,U00316,C002,KBC Season 15,GameShow,30.0,60,50.0,Tablet,Annual,Bangalore,Tier 1,2024-03-27 11:00:00,OTT_APP
EVT_000015,U00221,C005,Mirzapur S3,Thriller,55.0,55,100.0,Tablet,Annual,Chennai,Tier 1,2024-02-06 12:00:00,OTT_APP
EVT_000016,U00407,C004,Panchayat S3,Series,15.0,30,50.0,Smart TV,Free,Delhi,Tier 1,2024-03-06 21:00:00,OTT_APP
EVT_000017,U00420,C003,IPL 2024 Final,Sports,157.5,210,75.0,Smart TV,Premium,Hyderabad,Tier 2,2024-02-12 08:00:00,OTT_APP
EVT_000018,U00126,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Free,Delhi,Tier 1,2024-01-04 07:00:00,OTT_APP
EVT_000019,U00254,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Basic,Hyderabad,Tier 2,2024-01-25 18:00:00,OTT_APP
